complaint,response,context
"Текст обращения: Здравствуйте. Прошу привлечь к ответственности должностное лицо ООО  В. за умышленное затягивание сроков исполнения моей заявки по подключению магистрального газа к жилому дому по адресу: г. Омск, К.24 января я подал заявку на сайте единого оператора догазификации, исполнителем назначено правительство Омской области И. Выждав время, я связался с ней по телефону, и чудесным образом исполнитель был изменён на ООО В.
Ранее я уже пытался подать заявку в этой компании, но, придя туда, был направлен на выход с пояснениями, что срок аренды газовой сети, которая, кстати сказать, проходит по моему участку, у них закончился, и что ООО предпринимать никаких действий не станет до разрешения этой ситуации (ООО признан банкротом, и будет ли вообще продлена аренда с владельцем сети СТТК, вообще не понятно).
То есть складывается ситуация, когда время идёт, никто ничего делать не собирается. А это отопление моего дома, отопительный сезон не за горами.
Я был вынужден как-то попытаться разрешить эту ситуацию и направил обращение в администрацию города Омска и в ФАС. Мне, конечно, ответили, что нет никаких нарушений и всё идёт как задумывалось, но удивительным образом в ООО стали заниматься моей заявкой, и 10 марта 2025 года подготовили технические условия и мы подписали договор. Суть договора такова, что в течение 130 дней мне подключат магистральный газ. Но есть нюансы.
Договор, мною подписанный, В. должна была перенаправить единому оператору по догазификации «Газпром» в Питер. А оттуда его якобы скинут на ООО, и вот они, вроде как бы, и должны мне всё подключить. Мне было сказано: «Вы ждите, они вам позвонят».
Я ждал, ждал, ждали позвонил в ООО в конце апреля.
На что был получен ответ, что из ООО ничего им не передавали, чтобы я туда позвонил, уточнил. И я позвонил в ООО, там мне сказали, что сезон отпусков, так мол и так, и что я должен это понять. И при этом каждый мой диалог с представителями ООО заканчивается страшилкой, и что всё равновесие в ближайшие два года мне ничего не подключат. Я выяснил, кто именно должен был передать мой договор, и.
Прошу привлечь к ответственности должностное лицо ООО В. за УМЫШЛЕННОЕ затягивание сроков исполнения моей заявки по подключению магистрального газа к жилому объекту в городе Омске, по улице К.
С момента подачи заявки 24.01.25 прошло уже три с половиной месяца, а по моей заявке даже не заключён договор. Считаю, что В умышленно затягивает сроки, так как мои обращения в Омскую администрацию и в ФАС задели её гордость и самолюбие, и данное должностное лицо пытается мне таким образом отомстить.
ПРОШУ ПРИНЯТЬ МЕРЫ.","Прокуратурой Ленинского административного округа г. Омска Ваши обращения, зарегистрированные 06.05.2025, рассмотрены. 
В ходе проведенной проверки доводы Ваших обращений подтвердились. 
По фактам выявленных нарушений прокуратурой округа конкурсному управляющему ООО внесено представление, которое находится на рассмотрении.  
О результатах рассмотрения акта прокурорского реагирования Вы будете уведомлены в установленном порядке.  
В случае несогласия с принятым решением Вы вправе обжаловать его прокурору округа или в суд.",ЖКХ
"Здравствуйте, я К., пишу жалобу на ЖКХ центрального района. Уже который год в начале лета отключают горячую воду, ссылаясь я постоянные аварии. Прошу учесть во внимание, что нас не уведомляют, на сколько отключена горячая вода, и когда она будет. После ремонта, который может длиться по 7-10 дней, через 1-2 недели опять происходит авария и всё повторяется снова. Прошу провести проверку по отношению к деятельности ЖКХ. Я понимаю что должна обращаться в другие организации, но там ответа не дают.","Прокуратурой округа рассмотрено Ваше обращение об отключении ГВС в многоквартирном доме по адресу: г. Омск, ул. К.
Вам разъясняется, что в соответствии с ч. 2 ст. 21 Федерального закона от 17.01.1992 № 2202-1 «О прокуратуре Российской Федерации» при осуществлении надзора за исполнением законов органы прокуратуры не подменяют иные государственные органы. 
На основании ст. 3 Гражданского процессуального кодекса РФ заинтересованное лицо вправе в порядке, установленном законодательством о гражданском судопроизводстве, обратиться в суд за защитой нарушенных либо оспариваемых прав, свобод или законных интересов. 
В силу статьи 22 Гражданского процессуального кодекса РФ суды рассматривают и разрешают исковые дела с участием граждан, организаций, органов государственной власти, органов местного самоуправления о защите нарушенных или оспариваемых прав, свобод и законных интересов, по спорам, возникающим из гражданских, семейных, трудовых, жилищных, земельных, экологических и иных правоотношений. 
Таким образом, если Вы полагаете, что нарушены Ваши права, Вы вправе самостоятельно обратиться в суд за защитой нарушенных либо оспариваемых прав, свобод или законных интересов, приложив соответствующие документы, подтверждающие Ваши требования. 
В случае несогласия с вынесенными судебными решениями Вы вправе их обжаловать в установленном законом порядке. 
Кроме того, руководствуясь положениями статьи 8 Федерального закона «О порядке рассмотрения обращений граждан Российской Федерации», статьей 22 Федерального закона «О прокуратуре Российской Федерации», пунктом 3.5 Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации, утвержденной приказом Генерального прокурора РФ от 30.01.2013 № 45, копия Вашего обращения для рассмотрения по существу в рамках компетенции направлена в Государственную жилищную инспекцию Омской области 
Ответ на обращение Вам будет направлен указанным органом. 
Данное решение Вы вправе обжаловать прокурору округа и (или) в суд.",ЖКХ
"Н. являюсь собственником квартиры. Поставщиком отопления и горячей воды в нашем доме является организация ООО. С лета прошлого года я и жильцы дома по адресу М не получают качественных услуг в рамках подачи и пользования горячей воды(постоянные отключения и отсутствие горячей воды в весенне, летнее и осеннее время). Котельная ООО работает от природного газа, который в неё поступает из ресурсоснабжающей компании. ООО имеет крупный долг перед ресурсоснабжающей компанией, которая в свою очередь перекрывает подачу газа в котельную. Я и подавляющая часть жильцов дома не имеет задолженности перед ООО и исправно оплачивает услуги по предоставлению горячей воды и отопления. Обращения в Газпром межрегионгаз Омск и ООО результатов не дают. Прошу вас провести проверку в отношении ООО и Газпром межрегионгаз Омск на соблюдение действующего законодательства, а так-же прошу обратить внимание на факт ущемления моих законных прав и прав жильцов проживающих по адресу г.Омск ул. М. на предоставление качественных коммунальных услуг, в частности использования горячей воды. В случае выявленных нарушений прошу обязать ООО и Газпром межрегионгаз Омск устранить данные нарушения. С уважением, Н","Ваше обращение по вопросу предоставления коммунальных услуг, зарегистрированное в прокуратуре округа 29.05.2025, рассмотрено. 
В ходе проверки установлено, что в связи с ограничением поставки (подачи) газа на котельные ООО допущено превышение допустимой продолжительности перерыва горячего водоснабжения многоквартирных домов на территории округа. 
В связи с изложенным прокуратурой округа внесено представление директору ООО. 
О результатах рассмотрения акта прокурорского реагирования Вы будете уведомлены дополнительно.",ЖКХ
"20.02.2025 г. Заявителем было получено предупреждение от АО «Т», в котором указывалось то, что им были нарушены ст. 153, ст. 155 ЖК РФ, согласно которым граждане обязаны своевременно в полном объеме вносить плату за жилое помещение и коммунальные услуги. Заявитель полагает, что данное предупреждение о взыскании задолженности неправомерно в связи со следующим. 
        20.11.2023 г. Заявитель была признана несостоятельной (банкротом), в отношении нее была открыта процедура реализации имущества гражданина сроком на шесть месяцев (до 20.05.2024). Финансовым управляющим имуществом был утвержден.
08.07.2024 г. процедура реализации имущества в отношении Заявителя была завершена. Заявитель была освобождена от дальнейшего исполнения требований кредиторов, за исключением требований кредиторов, предусмотренных пунктом 5 статьи 213.28 Федерального закона от 26.10.2002 № 127-ФЗ «О несостоятельности (банкротстве)», а также требований, о наличии которых кредиторы не знали и не должны были знать к моменту принятия определения о завершении реализации имущества гражданина.
Текущие коммунальные платежи Заявителем вносились исправно. Согласно Федеральному закону от 26.10.2002 N 127-ФЗ ""О несостоятельности (банкротстве)"", под текущими платежами понимаются денежные обязательства, требования о выплате выходных пособий и (или) об оплате труда лиц, работающих или работавших по трудовому договору, и обязательные платежи, возникшие после даты принятия заявления о признании должника банкротом.
От оплаты задолженности, образовавшейся до подачи заявления в Арбитражный суд Омской области (до 17.10.2023 г.), Заявитель была освобождена на основании ст. 213.28 Федерального закона от 26.10.2002 № 127-ФЗ «О несостоятельности (банкротстве)». АО «Т» не произвели перерасчет актуальной суммы задолженности Заявителя. 
Заявитель обращалась в АО «Т» с заявлением о перерасчете задолженности на основании Определения о завершении процедуры реализации имущества гражданина от 22.11.2023 г. На данное обращение Заявителем был получен ответ, в котором АО «Т» дублирует нормы закона о несостоятельности (банкротства) в части необходимости оплаты текущих платежей, и указывает на то, что задолженность, образовавшаяся до подачи заявления Заявителем в Арбитражный суд Омской области подлежит списанию. Однако далее АО «Т» указывает, что задолженность списанию не подлежит, так как Заявитель собственником жилого помещения не является. 
В то же время, АО «Т» также указывается, что все лица, зарегистрированные и проживающие по адресу г. Омск, ул. Ж., несут солидарную обязанность по оплате задолженности (коммунальных услуг) в полном объеме за все периоды её образования. 
Заявитель зарегистрирована по данному адресу. Иных зарегистрированных и проживающих лиц по данному адресу нет, поэтому оснований для несписания задолженности нет, так как Заявитель от оплаты этой задолженности была освобождена Определением Арбитражного суда Омской области от 08.07.2024 г. 
Согласно  п.  1  ст.  26  Федерального закона от 17.01.1992 N 2202-1 ""О прокуратуре  Российской  Федерации""  предметом надзора прокуратуры является соблюдение  прав  и  свобод  человека  и  гражданина  федеральными органами исполнительной   власти,   Следственным   комитетом  Российской  Федерации, представительными  (законодательными)  и исполнительными органами субъектов Российской  Федерации,  органами местного самоуправления, органами военного управления,   органами   контроля,   их   должностными  лицами,  субъектами осуществления общественного контроля за обеспечением прав человека в местах принудительного   содержания  и  содействия  лицам,  находящимся  в  местах принудительного  содержания,  а  также органами управления и руководителями коммерческих и некоммерческих организаций.  На   основании   вышеизложенного   и  руководствуясь  ст.  ст.  10,  26 Федерального   закона  от  17.01.1992  N  2202-1  ""О прокуратуре Российской Федерации"",
прошу:
    Принять предусмотренные  законодательством  меры  реагирования с целью защиты  нарушенных прав, свобод и законных интересов.","Ваше обращение, поступившее в прокуратуру округа 02.04.2025, по вопросу не списания задолженности в связи с признанием Вас банкротом рассмотрено.  
Проведенной проверкой установлено, что решением Арбитражного суда Омской области от 22.11.2023 Вы признаны несостоятельной (банкротом), в отношении Вас введена процедура реализации имущества. 
Определением Арбитражного суда Омской области от 09.07.2024 в отношении Вас завершена процедура реализации имущества, Вы освобождены от дальнейшего исполнения требований кредиторов. 
По состоянию на 01.04.2025 на лицевом счете жилого помещения по адресу: г. Омск, ул. 4-я Железнодорожная, в котором Вы проживаете имеется задолженность за отопление в размере 30 107, 74 руб., за горячее водоснабжение в размере 11 487, 94 руб., пени за тепловую энергию в размере 28 076, 23 руб. Указанная задолженность образовалась за период с апреля 2018 года по сентябрь 2023 года. 
Задолженность по оплате коммунальных услуг в силу положений ст. 31 ЖК РФ, ст. 91.8 ЖК РФ, ст. 153 ЖК РФ, является солидарным обязательством, как собственника жилого помещения (нанимателя), так и членов его семьи. 
Установлено, что собственником указанного жилого помещения Вы не являетесь. 
Освобождение Вас, как одного из солидарных должников от обязательства по оплате коммунальных услуг в связи с признанием банкротом, не влечет прекращение обязательства других солидарных должников по долгам за коммунальные услуги и не может являться основанием для списания задолженности, начисленной в отношении данного жилого помещения, что соответствует судебной практике (например, определение Девятого кассационного суда общей юрисдикции от 03.11.2022 № 88-10601/2022). 
С учетом изложенного оснований для принятия мер прокурорского реагирования в настоящее время не имеется. 
В случае несогласия с принятым решением Вы вправе его обжаловать вышестоящему прокурору и (или) в суд.",ЖКХ
"По адресу г. Омск, ул. Ю. с 23:00 часов 13.05.2025 г. нет холодной и горячей воды. Таким образом управляющая компания ООО УК ""У"" нарушает Правила предоставления коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домах (утв. Постановлением Правительства РФ от 06.11.2011 №354) – далее Правила и условия заключенного с ней Договора № 135 оказания услуг и выполнения работ по содержанию и ремонту многоквартирного дома, заключенного в 2023 году.
На основании вышеизложенного и руководствуясь Федеральным закон от 02.05.2006 №59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации», а также Положением о государственном жилищном надзоре, прошу: 

- провести по изложенным мною фактам выездную проверку; 
- выдать управляющей организации ООО Управляющая компания ""У"" предписание об -   устранении подтвердившихся нарушений и установить сроки его исполнения; 
- возбудить административное делопроизводство и привлечь к ответственности по статье 7.23 КоАП РФ «Нарушение нормативов обеспечения населения коммунальными услугами» виновных лиц.

УК Управляющая компания ""У"" систематически нарушает условия Договора, бездействует в аварийных ситуациях и не принимает мер по их устранению, всем этим вынужденно занимаются самостоятельно собственники жилых помещений нашего дома.","Ваше обращение, зарегистрированное в прокуратуре Кировского административного округа г. Омска 14.05.2025, рассмотрено. 
Разъясняю, что частью 2 статьи 21 Федерального закона от 17.01.1992           № 2202-1 «О прокуратуре Российской Федерации» установлено, что при осуществлении надзора за исполнением законов органы прокуратуры не подменяют иные государственные органы и организации. 
В соответствии с Федеральным законом от 02.05.2006 № 59-ФЗ  «О порядке рассмотрения обращений граждан Российской Федерации» гражданин вправе направлять обращения в органы государственной власти, в том числе в форме электронного документа. 
В соответствии с п. 1 приказа о Федеральной службе по надзору в сфере защиты прав потребителей и благополучия человека № 700 от 09.07.2012 (далее – Приказ) Территориальным органом Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека является Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Омской области. 
Пунктом 8.27 Приказа Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Омской области организует прием граждан, обеспечивает своевременное и полное рассмотрение обращений граждан, принимает по ним решения и направляет заявителям ответы в установленный законодательством Российской Федерации срок. 
Указом Губернатора Омской области от 15.01.2013 № 2 «О реорганизации Главного управления жилищного контроля, государственного строительного надзора и государственной экспертизы Омской области» утверждено положение о Госжилинспекции Омской области согласно приложению № 2 к настоящему Указу (далее – Положение). 
 В соответствии с пп. 4 п. 8 Положения к функциям Госжилинспекции Омской области относится осуществление жилищного надзора, а именно предупреждение, выявление и пресечение нарушений органами государственной власти, органами местного самоуправления, а также юридическими лицами, индивидуальными предпринимателями и гражданами установленных в соответствии с жилищным законодательством, законодательством об энергосбережении и о повышении энергетической эффективности требований к использованию и сохранности жилищного фонда независимо от его форм собственности, в том числе требований к созданию и деятельности юридических лиц, индивидуальных предпринимателей, оказывающих предоставление коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домах. 
С учетом изложенного, руководствуясь ст. 8 Федерального закона от 
02.05.2006 № 59-ФЗ «О порядке  рассмотрения  обращений   граждан  Российской  Федерации», п.п. 3.5, 3.11 Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации, утвержденной приказом  Генерального   прокурора   Российской Федерации от 30.01.2013 № 45, копия Вашего обращения направлена для рассмотрения по существу в рамках компетенции в Управление Роспотребнадзора по Омской области, Госжилинспекцию Омской области. 
О результатах рассмотрения обращения (жалобы) и принятых мерах Вы будете проинформированы указанными органами в установленный законом срок.  
В случае несогласия с решением, принятым руководителем органа, рассматривающим обращение, Вы вправе его обжаловать в органы прокуратуры. ",ЖКХ
"Омск ЖК «Н» ул. М., д. 1 Отключают воду с 23.05.2025г по причине неоплаты ООО «А» газа. Срок отключения неизвестен. Прошу разобраться в данной ситуации. Второй год уже это повторяется. Платежи как от собственника вносятся ежемесячно и без каких- либо Долгов.","Ваше обращение по вопросу предоставления коммунальных услуг, зарегистрированное в прокуратуре округа 02.06.2025, рассмотрено. 
В ходе проверки установлено, что в связи с ограничением поставки (подачи) газа на котельные ООО «А» допущено превышение допустимой продолжительности перерыва горячего водоснабжения многоквартирных домов на территории округа. 
В связи с изложенным прокуратурой округа внесено представление директору ООО «А». 
О результатах рассмотрения акта прокурорского реагирования Вы будете уведомлены дополнительно.",ЖКХ
"Добрый день. Довожу до Вашего сведения, что я, Д., дважды обращалась в Прокуратуру Центрального округа по вопросу затопления помещения магазина. На протяжении нескольких месяцев затапливаются теплой водой, предположительно, вследствие порыва сетей теплоснабжения. Обращения в ООО «А» не дали результатов.Первое обращение в Прокуратуру  Центрального округа было направлено 14.10.2024 г. Обращение подавалось от ООО «Ф». 
Второе обращение в Прокуратуру Центрального округа было направлено 24.01.2025 г. 
Обращение подавалось от моего имени, как от представитель ООО «Ф». 
В обоих обращениях была указана моя электронная почта . До настоящего времени не получены ответы по обоим обращениям, меры для устранения аварии не приняты. 
Прошу разобраться с данной ситуацией и принять меры. 
С уважением, Д.","В соответствии с ч. 3 ст. 8 Федерального закона «О порядке рассмотрения обращений граждан Российской Федерации», п. 3.2 Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации, утвержденной приказом Генерального прокурора Российской Федерации от 30.01.2013 № 45, направляю обращение Д. для разрешения по существу.  
О результатах рассмотрения обращения и принятом решении прошу уведомить заявителя и проинформировать прокуратуру области в установленный законом срок.  
Заявителю сообщается для сведения и одновременно разъясняется, что в прокуратуре Омской области разрешаются обращения на решения об отказе в удовлетворении требований заявителей, принятые нижестоящими прокурорами и руководителями контролирующих органов.",ЖКХ
"Обращение. 03.02.2025г. на имя руководителя СП ""Э"" подана претензия, которая зарегистрирована 04.02.2025г. На 24.03.2025г. ответа на претензию не получено. Попытки связаться с юридическим отделом и узнать причины отсутствия ответа небыли успешными. На основании Закона №59-ФЗ ""О порядке рассмотрения обращений граждан РФ"" срок рассмотрения составляет 30 дней. Прошу обязать руководителя организации ответь на претензию и на основании ст.5.59  Закона привлечь к административной ответственности за нарушение срока рассмотрения претензии.","Ваше обращение, зарегистрированное в прокуратуре Центрального административного округа г. Омска 25.03.2025 рассмотрено, по результатам рассмотрения сообщаю следующее. 
В ходе проверки установлено, что 03.02.2025 в АО «Т» поступила Ваша претензия по вопросу несогласия с вынесенным судебным актом и причиной образования задолженности по оплате за горячее водоснабжение на общедомовые нужды. 
20.02.2025 АО «Т» Вам направлен ответ на вышеуказанную претензию.  
Также, в ходе проверки установлено, что начисление за горячее водоснабжение на общедомовые нужды (далее ГВС ОДН) производилось по квитанциям АО «Т» с 01 сентября 2012 года по декабрь 2016 года согласно Правилам № 354. 
Действующие нормы жилищного и гражданского законодательства не освобождают потребителя от оплаты фактически потребленных услуг на общедомовые нужды при отсутствии в доме точек водоразбора горячей (холодной) воды на общедомовые нужды. 
При расчете ГВС на ОДН Правилами № 354 не предусмотрено наличие или отсутствие инженерных сооружений для потребления горячей воды непосредственно на ОДН. 
Многоквартирный дом в г. Омске, оборудован общедомовым прибором учета тепловой энергии. 
Размер платы за коммунальную услугу, предоставленную на общедомовые нужды в многоквартирном доме, оборудованном коллективным (общедомовым) прибором учета, определялся в соответствии с формулами 10 и 12 приложения № 2 к Правилам № 354. 
Объем потребления тепловой энергии коммунальной услуги на общедомовые нужды определяется как разница между объемом потребления по показаниям общедомового прибора учета тепловой энергии, установленного на 
данном жилом доме, индивидуальным потреблением жилых и нежилых помещений (при их наличии) и потреблением по нормативу в жилых и нежилых помещениях. 
По состоянию на 01.04.2025 по квартире № Х,  имеется задолженность за горячее водоснабжение в размере 2 667,78 руб., которая образовалась в связи с оплатой начислений не в полном объеме за горячее водоснабжение на общедомовые нужды за период с ноября 2012 года по декабрь 2016 года. 
В связи с наличием задолженности произведено начисление пени, сумма пени на 01.04.2025 оставляет 4788,25 руб. 
Разъясняю, что объектом правонарушения по ст. 5.59 КоАП РФ являются общественные отношения, связанные с реализацией гражданином Российской Федерации закрепленного за ним Конституцией Российской Федерации права на обращение в государственные органы и органы местного самоуправления, а также устанавливается порядок рассмотрения обращений граждан государственными органами, органами местного самоуправления и должностными лицами. 
Указанные отношения урегулированы Федеральным законом от 02.05.2006 N 59-ФЗ ""О порядке рассмотрения обращений граждан Российской Федерации"" (далее - Закон N 59-ФЗ). 
Объективную сторону правонарушения по ст. 5.59 КоАП РФ составляет нарушение установленного законодательством Российской Федерации порядка рассмотрения обращений граждан, объединений граждан, в том числе юридических лиц, должностными лицами государственных органов, органов местного самоуправления, государственных и муниципальных учреждений и иных организаций, на которые возложено осуществление публично значимых функций. 
Субъектами правонарушения по ст. 5.59 КоАП РФ являются должностные лица 	государственных 	органов, 	органов 	местного 	самоуправления, государственных и муниципальных учреждений и иных организаций, на которые возложено осуществление публично значимых функций. 
АО «Т» не является субъектом вышеуказанного правонарушения. 
Таким образом, основания для принятия мер прокурорского реагирования отсутствуют.  ",ЖКХ
"Здравствуйте. Прошу СРОЧНО разобраться с отключением горячей воды и бездействием ООО «Т». По адресу Г. отключили горячую воду 13.06.2025, из-за прорыва в Детском саду, который на данный момент функционирует. Никаких ремонтных работ с 13.06.2025 по 21.06.2025 не производилось, в ООО «Т» отвечают, что нет сотрудников устранить данный прорыв горячей воды и примерный срок указывают до 20 ИЮЛЯ, еще месяц!!! И по летнему графику еще не было отключения, практически лето без горячей воды?!!","Прокурору Центрального
административного округа
города Омска
 
В соответствии с ч. 3 ст. 8 Федерального закона от 02.05.2006 № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации»,  п. 3.2 Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации, утвержденной приказом Генерального прокурора РФ от 30.01.2013 № 45, направляю Вам обращение Ш. для рассмотрения по существу. 
О результатах рассмотрения обращения прошу уведомить заявителя в установленный законом срок. 
Во второй адрес сообщается для сведения. Одновременно разъясняю, что в прокуратуре города Омска к рассмотрению принимаются обращения на решения об отказе в удовлетворении требований заявителей, принятые нижестоящими прокурорами. ",ЖКХ
