complaint,reference_response,baseline_response,rag_response,retrieved_examples,baseline_rouge_l_f1,rag_rouge_l_f1,rag_minus_baseline,baseline_manual_score,rag_manual_score,baseline_style_score,rag_style_score,baseline_completeness_score,rag_completeness_score,notes
"Добрый день. Прошу как-то повлиять на ситуацию, потому что на связь приставы не выходят, на жалобы которые были неоднократно отправлены, присылают неверную информацию.
По задолженности везде разная информация, сняли больше чем положенно с ЗП, потом вернули на карту, 18.03.2025 опять сняли. Прошу обязать их направить в бухгалтерию работодателю
и мне лично верное постановление о взыскании
исполнительского долга в размере 10263,54 рублей. Это
верная сумма списания с меня, так как по выписке по
платежам задолженности, сумма мной переплаты по ИП
составляет 14260,16 рублей. Постановление о взыскании
исполнительского долга от 14.03.2025 на сумму 24523,46
рублей отменить, оно является неверным!","
 
 
Ваше обращение, зарегистрированное в прокуратуре Москаленского района 25.03.2025 по вопросу нарушения законодательства об исполнительном производстве судебными приставами-исполнителями Москаленского районного отделения судебных приставов ГУ ФССП России по Омской области (далее – Москаленский РОСП), рассмотрено. 
Исходя из смысла ч. 12 ст. 30 Федерального закона от 02.10.2007 № 229 «Об исполнительном производстве» (далее – Федеральный закон № 229-ФЗ) срок для добровольного исполнения составляет пять дней со дня получения должником постановления о возбуждении исполнительного производства либо с момента доставки извещения должнику способами, указанными ч. 12 настоящей статьи. 
Согласно ч.ч. 1, 2 ст. 112 Федерального закона № 229-ФЗ исполнительский сбор является денежным взысканием, налагаемым на должника в случае неисполнения им исполнительного документа в срок, установленный для добровольного исполнения исполнительного документа.  
	Исполнительский 	сбор 	устанавливается 	судебным 	приставом-
исполнителем по истечении срока, указанного в части 1 ст. 112 Федерального закона № 229-ФЗ, если должник не представил судебному приставу исполнителю доказательств того, что исполнение было невозможным вследствие непреодолимой силы, то есть чрезвычайных и непредотвратимых при данных условиях обстоятельств.  
В соответствии с ч. 3 ст. 112 Федерального закона № 229-ФЗ исполнительский сбор устанавливается в размере семи процентов от подлежащей взысканию суммы или стоимости взыскиваемого имущества, но не менее одной тысячи рублей с должника-гражданина или должника - индивидуального предпринимателя и десяти тысяч рублей с должника организации. 
Проверкой установлено, что на основании постановления судебного пристава-исполнителя Москаленского РОСП от 09.03.2025 в отношении Вас возбуждено исполнительное производство № х/х/х-ИП о взыскании долга в размере 350 335 руб. 24 коп.  
Постановлением судебного пристава-исполнителя Москаленского РОСП от 14.03.2025 определен размер исполнительского сбора, подлежащий взысканию с Вас в размере 24 523 руб. 46 коп., при этом указанная сумма является производной от суммы долга по вышеуказанному исполнительному производству (7% от 350 335 руб. 24 коп. = 24 523 руб. 46 коп.). 
Исполнительное производство № х/х/х-ИП о взыскании долга в размере 350 335 руб. 24 коп. 27.03.2025 было окончено на основании п. 1 ч. 1 ст. 46 Федеральный закон № 229-ФЗ, т.е. в связи с фактическим исполнением требований, содержащихся в исполнительном документе, при этом неосновной долг в виде исполнительского сбора в размере 17 387 руб. 50 коп. выделен в отдельное производство, в связи с чем постановлением судебного пристава исполнителя Москаленского РОСП от 27.03.2025 в отношении Вас возбуждено исполнительное производство № х/х/х-ИП. 
Проверкой установлено, что 13.03.2025 с Вашего счета были удержаны денежные средства в размере 24 040 руб. 19 коп., которые в указанный день были Вам возращены, в последующем взыскания обращались на Ваши доходы 17.03.2025, 18.03.2024, 20.03.2025 в счет погашения исполнительского сбора, общий размер взысканий в указанные даты составил 7 135 руб. 96 коп.  
Таким образом, в постановлении о возбуждении исполнительного производства № х/х/х-ИП от 27.03.2025 корректно определен размер исполнительского сбора - 17 387 руб. 50 коп. (24 523 руб. 46 коп. - 7 135 руб. 96 коп. = 17 387 руб. 50 коп.), по состоянию на 22.04.2025 размер задолженности не изменился.  
Согласно ч. 6 ст. 112 Федерального закона № 229-ФЗ должник вправе в порядке, установленном настоящим Федеральным законом, обратиться в суд с заявлением об оспаривании постановления судебного пристава-исполнителя о взыскании исполнительского сбора, с иском об отсрочке или о рассрочке его взыскания, об уменьшении его размера или освобождении от взыскания исполнительского сбора. 
Исходя из смысла п. 11 Постановления Пленума Верховного Суда РФ от 17.11.2015 № 50 «О применении судами законодательства при рассмотрении некоторых вопросов, возникающих в ходе исполнительного производства» заявление (далее - заявление) об оспаривании постановления, действий (бездействия) судебного пристава-исполнителя подается в суд в течение десяти дней со дня, когда гражданину, организации стало известно о нарушении их прав и законных интересов (часть 3 статьи 219 КАС РФ, статья 122 Закона об исполнительном производстве). Пропуск срока на обращение в суд не является основанием для отказа в принятии заявления судом общей юрисдикции или возвращения заявления арбитражным судом. 
Установлено, что в суд общей юрисдикции Вами заявления об оспаривании вышеприведенных постановлений судебных приставов – исполнителей Москаленского РОСП до настоящего времени не предъявлялись.  
Согласно ч.ч. 5, 5.1 ст. 64.1 Федерального закона № 229-ФЗ если иное не предусмотрено настоящим Федеральным законом, должностное лицо службы судебных приставов рассматривает заявление, ходатайство в десятидневный срок со дня поступления к нему заявления, ходатайства и по результатам рассмотрения выносит постановление об удовлетворении полностью или частично либо об отказе в удовлетворении заявления, ходатайства или в случаях, указанных в части 5.1 настоящей статьи, направляет уведомление. 
В случае поступления заявления, ходатайства, не содержащих просьб о совершении конкретных исполнительных действий, применении мер принудительного исполнения в рамках исполнительного производства, должностное лицо службы судебных приставов рассматривает их в соответствии с Федеральным законом от 2 мая 2006 года № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации».  
Проверкой установлено, что в рамках указанных исполнительных производств Вами в адрес судебных приставов-исполнителей Москаленского РОСП направлялись обращения от 12.03.2025, 16.03.2025, 17.03.2025,18.03.2025, 24.03.2025, 26.03.2025, 27.03.2025, на которые в предусмотренный ч. 5 ст. 64.1 Федерального закона № 229-ФЗ срок должностными лицами Москаленского РОСП были направлены ответы в Ваш адрес.  
Учитывая вышеизложенное, нарушений в деятельности судебных приставов Москаленского РОСП в рамках исполнительных производств, возбужденных в отношении Вас, не выявлено, таким образом, оснований для принятия мер прокурорского реагирования в настоящее время не имеется.  
С материалами проверки Вы вправе ознакомиться.
В случае несогласия с принятым решением Вы вправе его обжаловать вышестоящему прокурору и (или) в суд общей юрисдикции. 
 ","Ваше обращение рассмотрено по существу.

Прокуратурой установлено, что вы обратились в прокуратуру с заявлением о нарушении прав и интересов, связанных с снятым долгом и неверной информацией, предоставленной приставой. По имеющимся материалам established, что в последнее время были получены неоднократные жалобы от вас по поводу этой проблемы.

Прокуратурой установлено, что по заявлению вы неоднократно отправляли жалобы на ситуацию, связанную с неверной информацией и снятым долгом. В связи с этим, как основа для решения этой проблемы, отслуживших в прокуратуре сотрудников просят предоставить все имеющиеся у них документы и материалы, касающиеся этой проблемы.

Прокуратурой установлено, что по заявлению вы также просили обязать приставу направить в бухгалтерию работодателя и обратиться к вам personally, чтобы найти верное постановление о взыскании исполнительского долга в размере 10263,54 rubлей. В свою очередь, на основании предоставленной информации, прокуратурой установлено, что сумма, сwhich была снята сумма из зарплаты, составляет 14260,16 рублей, а постановление о взыскании исполнительского долга от 14.03.2025 на сумму 24523,46 рублей было отменено по заявлению.

Прокуратурой установлено, что в связи с учетными записями и документами, предоставленными вам, было решено направить приставу для ознакомления с постановлением о взыскании исполнительского долга.","Ваше обращение по вопросу о нарушении прав заинтересованным сторонами при исполнении судебных приставлений, поступившее в прокуратуру округа 28.03.2025, рассмотрено.

Прокуратурой установлено, что на связь с приставами не выходят. 
В связи с этим, по заявленному праву, прокурорą округа будет направлено уведомление в органы исполнительного organsания и работодателя о необходимости принятия мер для обеспечения точной и полной информации при исполнении судебных приставлений. 
Соответствующее представление по этой теме будет направлено в бухгалтерию работодателя, а также в приставы для их привлечения к ответственности за непринятие действий по предоставлению правильной информации.","[{""complaint"": ""Здравствуйте! У меня было исполнительное производство № 1/1/1-ИП от 20.01.2025 , долг которого я оплатила, постановление о снятии ареста с банка ВТБ было, арест не сняли, в сам банк я ездила, там сказали что арест снимают не они, а приставы, звонила приставам, они сказали, что постановление было в банк ВТБ, арест не снимают."", ""response"": ""Ваше \tобращение \tпо \tвопросу \tнарушений \tзаконодательства \tоб исполнительном производстве, поступившее в прокуратуру округа 20.03.2025, рассмотрено. \nДоводы Вашего обращения подтвердились. \nПо факту выявленных нарушений прокуратурой округа руководителю ГУФССП России по Омской области внесено представление. \nО результатах рассмотрения акта прокурорского реагирования Вы будете уведомлены в установленном порядке. \nВ случае несогласия с принятым решением Вы вправе обжаловать его прокурору округа или в суд."", ""score"": 0.7916419506072998}, {""complaint"": ""Заявление на отпуск написал с 17 октября 2024 года . часть отпускных получил 7 февраля 2025 года в размере 30000 рублей. Общая сумма задолженности работодателя была 94629,56 рублей. Задержку работодатель объясняет отсутствием денег на счете. \nПрошу провести проверку в связи с нарушением ст. 136 ТК. РФ. А также выплату компенсации за задержку выплат на основании ст. 236 ТК РФ."", ""response"": ""Ваше обращение, поступившее в прокуратуру Ленинского административного округа г. Омска 27.02.2025, рассмотрено. \nВ ходе проведенной проверки в деятельности ООО «Р» выявлены факты нарушения требований оплаты труда. \nВ нарушение ст. 136 Трудового кодекса РФ ООО «Р» нарушил сроки выплаты заработной платы, в связи с чем перед Вами образовалась задолженность по заработной плате. \nНа основании вышеизложенного, прокуратурой Ленинского административного округа г. Омска в адрес директора ООО «Р» внесено представление, которое находится на рассмотрении. \nО результатах рассмотрения актов прокурорского реагирования Вы будете уведомлены в установленные сроки. "", ""score"": 0.7394702434539795}, {""complaint"": ""Добрый день!Подаю жалобу на халатные действия судебных приставов по ОСП по Центральному АО № Х г. Омска Х. и Х. Второй год подряд получаю от них исполнительные производства по задолженности по коммунальным платежам за чужое жилье, находящееся в г. Омске. Я сама живу и прописана в г. Красноярске и плачу за свою квартиру в г. Красноярске. Жилья в Омске не имею. Разобрались 1/1/1-ИП, что это не мой долг и соответствующее решение мне приставы прислали. И вот снова 2/2/2-ИП от 17.03.2025. Я устала доказывать, что я не \""верблюд\"", на мои счета накладывают арест, доставляют мне неудобства и нервное напряжение. Я как гражданин РФ совершенно не защищена от халатных действий судебных приставов.\nПрошу разобраться и принять меры, чтобы в дальнейшем подобные ситуации не повторялись.\nОтвет прошу дать по телефону и письменно на мой почтовый адрес."", ""response"": ""Ваше обращение, зарегистрированное в прокуратуре округа 25.03.2025, рассмотрено. \nУстановлено, что в ОСП № Х по ЦАО г. Омска ГУФССП России по Омской области в отношении Вас возбуждено исполнительное производство  \nНарушений федерального законодательства при возбуждении указанного исполнительного производства не выявлено.  \nТаким образом, оснований для принятия мер прокурорского реагирования в отношении должностных лиц органа принудительного исполнения не установлено.  \nВместе с тем в рамках оказания Вам правовой помощи прокуратурой округа подготовлено заявление об отмене судебного приказа, на основании которого возбуждено исполнительное производство. \nПринятое решение может быть обжаловано Вами вышестоящему прокурору и \n(или) в суд.  "", ""score"": 0.7257047891616821}]",0.07624633431085044,0.04956896551724139,-0.026677368793609053,,,,,,,
"Жалоба на действия первого заместителя директора департамента строительства администрации города Омска
1.	По вопросу бездействия, выраженного в непроведении работ по строительству линии наружного по улице 6 Северной (от здания 3 к1 по улице 6 Северной до здания 105 к4 по улице Красный Путь), а также на проезде от улицы 6 Северной в направлении здания 8 по улице Старозагородной рощи, включая места стоянок транспортных средств, в городе Омске.
Согласно пункту 4.6.1 национального стандарта Российской Федерации ГОСТ Р 52766-2007 «Дороги автомобильные общего пользования. Элементы благоустройства. Общие требования», утвержденные приказом Ростехрегулирования РФ от 23.10.2007 года № 270-ст, стационарное электрическое освещение на автомобильных дорогах предусматривают:
- на участках, проходящих по населенным пунктам и за их пределами на расстоянии от них не менее 100 м.
Все требования стандарта являются обязательными и направлены на обеспечение безопасности дорожного движения, сохранение жизни, здоровья и имущества населения, охрану окружающей среды.
Из ответа должностного лица невозможно установить сроки проведения работ. 
В связи с этим, нарушены мои права, права неопределенного круга лиц в области безопасности дорожного движения.
Поступивший ответ не основан на требованиях закона.
	Прошу принять меры прокурорского реагирования к бездействующим лицам.","Первому заместителю Мэра г. Омска, директору департамента городского хозяйства Администрации г. Омска

Директору департамента строительства Администрации  г. Омска


В соответствии с положениями ч. 3 ст. 8 Федерального закона от 02.05.2006 № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации», п. 3.4 Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации, утвержденной приказом Генерального прокурора РФ от 30.01.2013 № 45, направляю для рассмотрения по существу обращение заявителя об отсутствии наружного уличного освещения. 
О результатах рассмотрения обращения прошу уведомить заявителя и прокуратуру округа в установленный законом срок. Заявителю сообщается для сведения. ","Ваше обращение рассмотрено Prosecуратурой Омской области.

Согласно пункту 4.6.1 национального стандарта Российской Федерации ГОСТ Р 52766-2007 «Дороги автомобильные общего пользования. Элементы благоустройства. Общие требования», утвержденные приказом Ростехрегулирования РФ от 23.10.2007 года № 270-ст, стационарное электрическое освещение на автомобильных дорогах предусматривают:

- на участках, проходящих по населенным пунктам и за их пределами на расстоянии от них не менее 100 м.

Напоминаем, что Правительством Российской Федерации утверждены федеральные стандарты и нормы, которые должны быть соблюдены при проектировании и строительстве автомобильных дорог. Эти стандарты и normy направлены на обеспечение безопасности дорожного движения, сохранение жизни, здоровья и имущества населения, охрану окружающей среды.

Прокуратурой установлено, что действия первого заместителя директора департамента строительства администрации города Омска не соответствуют требованиям ГОСТ Р 52766-2007. Прокуратура по своей инициативе не нашла информации о проведении работ по строительству линии наружного электрического освещения на упомянутых участках.

Ваше обращение рассмотрено Prosecуратурой Омской области, а также направлено в департамент строительства администрации города Омска с предложением принять меры по обеспечению соблюдения требований ГОСТ Р 52766-2007 и проведения работ поconstructed линии наружного электрического освещения на упомянутых участках.

Прокуратура Омской области будет closelyfollowit developments в этой ситуации и будет принимать необходимые меры для обеспечения соблюдения закона.","Ваше обращение, зарегистрированное в прокуратуре Кировского административного округа г. Омска 15.01.2025, рассмотрено.

Разъясняю, что частью 2 статьи 21 Федерального закона от 17.01.1992 № 2202-1 «О прокуратуре Российской Федерации» установлено, что при осуществлении надзора за исполнением законов органы прокуратуры не подменяют иные государственные органы и организации.

В соответствии со ст. 8 Федерального закона от 02.05.2006 № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации»  письменное обращение, содержащее вопросы, решение которых не входит в компетенцию данных государственного органа,(orgана местного самоуправления или должностного лица), направляется в течение семи дней со дня регистрации в соответствующий орган или соответствующему должностному лицу, в компетенцию которых входит решение поставленных в обращении вопросов, с уведомлением гражданина, направившего обращение, о переадресации обращения.

Постановлением Омского городского Совета от 02.02.2022 № 1314 «Об утверждении структуры Администрации города Омска» утверждена структура Администрации города Омска, согласно которой в структуру Администратаivity города Омска входят соответствующие департаменты.

Решением Омского городского Совета от 29.06.2011 № 416 утверждено положение о департаменте строительства администрации г. Омска. Согласно п.п. 20.6 п. 18 Положения о департаменте строительства Администрации города Омска департамент строительства Администрации г. Омска организует работу по проектированию, строительству и реконструкции муниципальных объектов наружного освещения, расположенных на территории города Омска.

Таким образом, рассмотрение доводов, изложенных в Вашем обращении, относится к компетенции департамента строительства Администрации города Омска.

В связи с чем разъясняю, что копия Вашего обращения в соответствии с положением ч. 3 ст. 8 Федерального закона от 02.05.2006   № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации», п. 3.5 Инструкции «О порядке рассмотрения обращений и приема граждан в системе прокуратуры Российской Федерации» направлена для рассмотрения в пределах компетенции в Администрацию города Омска.

О результатах рассмотрения обращения (жалобы) и принятых мерах Вы будете проинформированы указанным органом в установленный законом срок. 

В случае несогласия с принятым решением Вы вправе его обжаловать вышестоящему прокурору и (или) в суд.","[{""complaint"": ""Жалоба на действия директора департамента строительства администрации города Омска\n1.\tПо вопросу бездействия, выраженного в непроведении работ по строительству линии наружного по улицам 1 и 2 Садовой, в районе здания 15 по улице Садовой (Адаптивная школа-интернат), в городе Омске.\n\nСогласно пункту 4.6.1 национального стандарта Российской Федерации ГОСТ Р 52766-2007 «Дороги автомобильные общего пользования. Элементы благоустройства. Общие требования», утвержденные приказом Ростехрегулирования РФ от 23.10.2007 года № 270-ст, стационарное электрическое освещение на автомобильных дорогах предусматривают:\n- на участках, проходящих по населенным пунктам и за их пределами на расстоянии от них не менее 100 м.\nВсе требования стандарта являются обязательными и направлены на обеспечение безопасности дорожного движения, сохранение жизни, здоровья и имущества населения, охрану окружающей среды.\nИз ответа должностного лица невозможно установить сроки проведения работ.\n\tВ связи с этим, нарушены мои права, права неопределенного круга лиц в области безопасности дорожного движения.\nПоступивший ответ не основан на требованиях закона.\n\n2.\tПо вопросу бездействия, выраженного в непроведении работ по обеспечению освещенности нерегулируемого пешеходного перехода, который находится в районе пересечения улиц Макохи и Перелета (расположен по улице Макохи).\n\nСогласно пункту 5.3.2 ГОСТ Р 55706-2013 на пешеходных переходах в одном уровне с проезжей частью улиц и дорог категорий А и Б норма средней освещенности должна быть в 1,5 раза выше, чем на пересекаемой проезжей части. Повышение уровня освещенности достигают уменьшением шага опор, установкой дополнительных или более мощных ОП.\n\tНастоящий стандарт распространяется на утилитарное наружное освещение и устанавливает классификацию и нормы освещения объектов улично-дорожной сети в пределах территорий городских и сельских населенных пунктов.\n\tВсе требования стандарта являются обязательными и направлены на обеспечение безопасности дорожного движения, сохранение жизни, здоровья и имущества населения, охрану окружающей среды.\nИз ответа должностного лица невозможно установить сроки проведения работ.\n\tВ связи с этим, нарушены мои права, права неопределенного круга лиц в области безопасности дорожного движения.\nПоступивший ответ не основан на требованиях закона.\n\nПрошу принять меры прокурорского реагирования к бездействующим лицам.\n \nОтветы прилагаю."", ""response"": ""Ваше обращение, зарегистрированное в прокуратуре Кировского административного округа г. Омска 21.01.2025, рассмотрено. \nРазъясняю, что частью 2 статьи 21 Федерального закона от 17.01.1992 № 2202-1 «О прокуратуре Российской Федерации» установлено, что при осуществлении надзора за исполнением законов органы прокуратуры не подменяют иные государственные органы и организации. \nВ соответствии со ст. 8 Федерального закона от 02.05.2006 № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации»  письменное обращение, содержащее вопросы, решение которых не входит в компетенцию данных государственного органа, органа местного самоуправления или должностного лица, направляется в течение семи дней со дня регистрации в соответствующий орган или соответствующему должностному лицу, в компетенцию которых входит решение поставленных в обращении вопросов, с уведомлением гражданина, направившего обращение, о переадресации обращения.  \nПостановлением Омского городского Совета от 02.02.2022 № 1314 «Об утверждении структуры Администрации города Омска» утверждена структура Администрации города Омска, согласно которой в структуру Администрации города Омска входят соответствующие департаменты. \nРешением Омского городского Совета от 29.06.2011 № 416 утверждено положение о департаменте строительства администрации г. Омска. Согласно п.п. 20.6 п. 18 Положения о департаменте строительства Администрации города Омска департамент строительства Администрации г. Омска организует работу по проектированию, строительству и реконструкции муниципальных объектов наружного освещения, расположенных на территории города Омска. \nТаким образом, рассмотрение доводов, изложенных в Вашем обращении, относится к компетенции департамента строительства Администрации города Омска. \nУчитывая вышеизложенное, в соответствии ст. 8 Федерального закона «О порядке рассмотрения обращений граждан Российской Федерации», п. 3.5 Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации, утвержденной приказом Генеральной прокуратуры РФ от 30.01.2013 № 45, копия Вашего обращения по вопросам отсутствия линий наружного освещения направлена в Администрацию  г. Омска. \nО результатах рассмотрения обращения Вы будете проинформированы указанным органом в установленный законом срок. \nВ случае несогласия с решением, принятым руководителем органа, рассматривающим обращение, Вы вправе его обжаловать в органы прокуратуры. \n \n \n  \t\n \n \n "", ""score"": 0.9535943269729614}, {""complaint"": ""Жалоба на действия директора департамента строительства администрации города Омска\n1.\tПо вопросу бездействия, выраженного в непроведении работ по строительству линии наружного на проезде от улицы Дергачева до Лесного проезда (в районе зданий 21, 19, 17, 15, 13 по улице Дианова), по улице Волгоградской (в направлении бульвара Архитекторов), от здания 5А по улице Волгоградской-далее ориентировочно 650 метров, на участке от перекрестка улиц 2 Солнечной и Волгоградской до здания 40В по улице 2 Солнечной, в городе Омске.\nСогласно пункту 4.6.1 национального стандарта Российской Федерации ГОСТ Р 52766-2007 «Дороги автомобильные общего пользования. Элементы благоустройства. Общие требования», утвержденные приказом Ростехрегулирования РФ от 23.10.2007 года № 270-ст, стационарное электрическое освещение на автомобильных дорогах предусматривают:\n- на участках, проходящих по населенным пунктам и за их пределами на расстоянии от них не менее 100 м.\nВсе требования стандарта являются обязательными и направлены на обеспечение безопасности дорожного движения, сохранение жизни, здоровья и имущества населения, охрану окружающей среды.\nИз ответа должностного лица невозможно установить сроки проведения работ. \nВ связи с этим, нарушены мои права, права неопределенного круга лиц в области безопасности дорожного движения.\nПоступивший ответ не основан на требованиях закона.\n\tПрошу принять меры прокурорского реагирования к бездействующим лицам."", ""response"": ""\nВаше обращение, зарегистрированное в прокуратуре Кировского административного округа г. Омска 09.01.2025, рассмотрено. \nРазъясняю, что ч. 2 ст. 21 Федерального закона от 17.01.1992 № 2202-1 «О прокуратуре Российской Федерации» установлено, что при осуществлении надзора за исполнением законов органы прокуратуры не подменяют иные государственные органы и организации. \nВ соответствии со ст. 8 Федерального закона от 02.05.2006 № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации»  письменное обращение, содержащее вопросы, решение которых не входит в компетенцию данных государственного органа, органа местного самоуправления или должностного лица, направляется в течение семи дней со дня регистрации в соответствующий орган или соответствующему должностному лицу, в компетенцию которых входит решение поставленных в обращении вопросов, с уведомлением гражданина, направившего обращение, о переадресации обращения.  \nПостановлением Омского городского Совета от 02.02.2022 № 1314 «Об утверждении структуры Администрации города Омска» утверждена структура Администрации города Омска, согласно которой в структуру Администрации города Омска входят соответствующие департаменты. \nРешением Омского городского Совета от 29.06.2011 № 416 утверждено положение о департаменте строительства администрации г. Омска. Согласно п.п. 20.6 п. 18 Положения о департаменте строительства Администрации города Омска департамент строительства Администрации г. Омска организует работу по проектированию, строительству и реконструкции муниципальных объектов наружного освещения, расположенных на территории города Омска. \nТаким образом, рассмотрение доводов, изложенных в Вашем обращении, относится к компетенции департамента строительства Администрации города Омска. \nВ связи с чем разъясняю, что копия Вашего обращения в соответствии с положением ч. 3 ст. 8 Федерального закона от 02.05.2006   № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации», п. 3.5 Инструкции «О порядке рассмотрения обращений и приема граждан в системе прокуратуры Российской Федерации» направлена для рассмотрения в пределах компетенции в Администрацию города Омска. \nО результатах рассмотрения обращения (жалобы) и принятых мерах Вы будете проинформированы указанным органом в установленный законом срок.  \nВ случае несогласия с решением, принятым руководителем органа, рассматривающим обращение, Вы вправе его обжаловать в органы прокуратуры. \n \n \n \n\t"", ""score"": 0.9297413229942322}, {""complaint"": ""Жалоба на действия директора департамента контроля Администрации города Омска\n1.        По вопросу бездействия, выраженного в непринятии мер по организации работы по приведению уровня крышек смотровых люков по набережной Тухачевского, в районе здания № 10 указанной улицы.\n\nСогласно пункту 6.3.7 СП 32.13330.2018 установку люков необходимо предусматривать в одном уровне с поверхностью проезжей части при усовершенствованном покрытии; на 50-70 мм выше поверхности земли в зеленой зоне и на 200 мм - на незастроенной территории. Люки с запорными устройствами предусматриваются при наличии соответствующего требования в техническом задании. Конструкция должна обеспечивать условия эксплуатации с учетом нагрузок от транспорта, безопасного спуска и подъема персонала.\nРешение Омского городского Совета от 25.07.2007 г.№ 45 (Правила благоустройства города Омска) не отменяют на территории Российской Федерации действие других законов, подзаконных актов, стандартов и нормативов.\nВ связи с этим, бездействие Администрации города Омска нарушает мои права, права неопределенного круга лиц в области безопасной городской среды.\n\nПрошу провести проверку и принять меры реагирования к бездействующим лицам.\n\nОтвет прилагаю."", ""response"": ""Ваше обращение, зарегистрированное в прокуратуре Центрального административного округа г. Омска 10.01.2025, рассмотрено в рамках компетенции.  \nВ результате проведенной проверки прокуратурой округа с целью устранения выявленных нарушений 10.02.2025 в адрес директора БУ г. Омска «Управление дорожного хозяйства и благоустройства» внесено представление, о результатах рассмотрения которого Вы будете уведомлены дополнительно. \nВ случае несогласия с принятым решением Вы вправе его обжаловать вышестоящему прокурору и (или) в суд. \n "", ""score"": 0.8651999831199646}]",0.07773851590106007,0.26804123711340205,0.19030272121234199,,,,,,,
